PR,Project,CommitHash,Time
120947968,django/django,d8fb557a519a419a53d648ce1ef12dad8673151f,2015-01-06T07:45:10Z
120947968,django/django,5e18f6f724dda3f6462c92f825b31b2e423f4e7c,2015-01-06T08:00:27Z
120947968,django/django,557c514f900b1280cfd4a892be893dd4c338ae74,2015-01-08T14:09:24Z
120947968,django/django,600ea43e6735cfc035dc4a17ab23fd7927f1f9ee,2015-01-08T14:43:40Z
120947968,django/django,bbcbacf0ad4fc9aa89d13c35f4b084185b284a49,2015-01-08T14:44:21Z
120947968,django/django,7e65876b7c34d0c43c94ba01543a0050270a34fe,2015-01-10T09:13:50Z
120947968,django/django,1a352fe1751cb1ec1dc2977e72cac9dc9b770bc1,2015-01-10T16:11:57Z
120947968,django/django,ef5889409bba675499dfd38831358daba16811ab,2015-01-10T23:35:49Z
120947968,django/django,6a08020fcff3681202047ba002c700fedebc6e74,2015-01-13T16:53:59Z
120947968,django/django,33f1ccf5b1a928b8680e25b3e419834d139e04e8,2015-01-13T18:02:55Z
120947968,django/django,41b4bc73ee0da7b2e09f4af47fc1fd21144c710f,2015-01-13T18:02:56Z
120947968,django/django,de67dedc771ad2edec15c1d00c083a1a084e1e89,2015-01-13T18:02:56Z
120901242,django/django,8a5bf90875812b14dc6adc687e6dab264953a2e3,2017-05-18T15:02:56Z
120880887,django/django,da7d5580ad8924add931dd539066f26628eecf14,2017-05-19T09:42:16Z
120880887,django/django,da40d737b1e42256b17b93455bdec69b3a9f924c,2017-05-19T09:42:16Z
120679718,django/django,56fb05203bb8f7ac068008ce63dfa723ecbcf557,2017-05-29T05:50:53Z
120671169,django/django,01929643c5029f0c4564c70ff50c8c9f5c26d753,2017-05-15T18:58:43Z
120597410,django/django,6c98a2c2477885ae9563cabab1077be1598b4813,2017-05-15T13:06:38Z
120580363,django/django,3392de2c0204d70935733dd06a83f48ef10cd1c4,2017-05-15T11:56:09Z
120505500,django/django,3008f30f194af386c354416be4c483f0f6b15f33,2017-05-15T11:48:15Z
120502925,django/django,c7b249eab7654c8af18cc0e6ed05f6c84d1696db,2017-05-14T21:25:33Z
120499843,django/django,98b3b14a648a128d409b8f6169c1a4ff9d71c1a4,2017-05-18T15:48:03Z
120492711,django/django,cf69f3453445b7a44e00bd7cceaa960d7d66b971,2017-05-14T16:40:24Z
120463162,django/django,d4d812cb567d1f84ef7a569672fdf3c0b83e6fdd,2017-05-14T17:42:32Z
120456846,django/django,359e71a1c7a1e2d0e3fc6f47a4595568fe28fb50,2017-05-13T17:41:37Z
120456773,django/django,08a66891d57c52fe851e8f23281f240bdd275418,2017-05-13T17:35:42Z
120444403,django/django,aa83edeff761cb49904af9ba60d1532082b1e7fe,2017-05-14T16:16:54Z
120439167,django/django,b1cf202d2270c2b3e19f9f316bb7bca0696c565b,2017-05-13T07:47:16Z
120408847,django/django,59c413ec4e644ba5e8d3219e5ef799b1b37e4755,2017-05-12T21:08:40Z
120355279,django/django,3a5299c19cd5a38f7fa0f45ed2df7b10f0c9cf5d,2017-05-15T12:33:31Z
120347775,django/django,680968b9e42d63f9a3ee929ebd6afdef06999d24,2017-05-13T21:24:22Z
120327373,django/django,d3209bf09cb91f95292efce3ec2b29d89235f501,2017-05-14T17:02:09Z
120314693,django/django,6b5f349ea79ca86d628692f7ac6e5d2b23578d56,2017-05-14T17:54:04Z
120177149,django/django,ccc08623c309fe58dab00ab9afc857154e59f430,2017-05-19T20:59:40Z
120168197,django/django,fc38642aa7d73df9ea557e2f8a028537abc12f99,2017-06-03T14:25:47Z
120143098,django/django,ffc0d39e4050a61991dd042aa852bc328a5ed336,2017-05-11T15:56:08Z
